day,email_count,external_email_count,external_attach_count,attachment_count,external_size_sum,external_size_max,external_recipient_count,external_domain_count,external_bcc_count,offhours_external_count,file_count,device_count,logon_count,http_count,external_email_count_personal_z,external_attach_count_personal_z,attachment_count_personal_z,external_size_sum_personal_z,external_size_max_personal_z,external_recipient_count_personal_z,external_domain_count_personal_z,external_bcc_count_personal_z,offhours_external_count_personal_z,file_count_personal_z,device_count_personal_z,logon_count_personal_z,http_count_personal_z,anomaly_score,model_anomaly,rule_s3_candidate,rule_multisignal,evidence_strength,email_event_ids,email_pcs,file_event_ids,device_event_ids,logon_event_ids,http_event_ids,anon_user
2010-06-27,4.0,4.0,3.0,5.0,101864.0,52904.0,5.0,5.0,0.0,4.0,6.0,2.0,2,8.0,4.047,4.047,6.745,3.1383991430781744,1.700234991880953,5.396,5.396,0.0,6.0,8.094,1.349,0.0,0.4496666666666666,98.69585735875287,True,True,True,MODEL+S3_RULE,{J0F3-R8CK84PM-8693SOQW}|{O2A3-L8XT02YZ-1966CRJJ}|{X7M8-V6ZV50XC-5698HKWP}|{D9T5-T0KN74UM-2069WOCR},PC-1313,{A6F3-D3XR87VG-2380XVTG},{B0F0-B7MO74FF-3940IAUE},{H6Z1-L0RD35OM-2701CRHB},{B5U2-N9ES09GW-2420CRAS},usr_f1799c5feb88
2010-03-22,7.0,2.0,2.0,8.0,42385.0,25431.0,3.0,3.0,0.0,2.0,9.0,4.0,5,5.0,1.349,2.698,10.0,0.9756822750353347,0.4702915578480021,2.698,2.698,0.0,6.0,10.0,2.698,2.698,-0.6745,97.49400596450917,True,True,True,MODEL+S3_RULE,{Z3M7-C7KG95YC-6308SKBF}|{F6Z1-E3LV09GC-0977ILKS},PC-2731,{U8Q3-F3EJ41WB-7130HYNB},{H0P6-G3NC40PG-9929WLZE},{M6G2-O1UR80NT-0549WFCD},{A4J4-K9NA08MD-6827FUBE},usr_a0ae3aaaf22b
2011-04-08,6.0,3.0,2.0,3.0,77460.0,36003.0,5.0,5.0,0.0,2.0,9.0,2.0,3,10.0,4.047,2.698,4.047,2.630952488858675,1.5054957920676988,6.745,6.745,0.0,6.0,10.0,1.349,0.0,0.6745,96.82363628521554,True,True,True,MODEL+S3_RULE,{H3U2-D7BU97KQ-1463OSFW}|{C3I8-C2BK14XD-8848XMZJ}|{E7A9-Q1NA83OW-2486KBRP},PC-6713,{U1J6-O9JW53TY-8169TYFU},{J2N3-V4BE19JA-0057GPPD},{U1X7-W8CV90DG-2648BSSA},{X7Z9-U1JO12AD-7741KLIN},usr_f6c2c2115a84
2010-10-20,5.0,4.0,4.0,12.0,138991.0,64447.0,5.0,4.0,0.0,0.0,11.0,2.0,3,6.0,4.047,5.396,10.0,4.126021579281814,1.797727510405241,5.396,4.047,0.0,0.0,8.479428571428572,1.349,0.0,-0.4496666666666666,94.97235328102201,True,True,True,MODEL+S3_RULE,{M0V3-Y6UP30RI-7184APNW}|{D1O0-X7SX71QS-1313STKE}|{N4D6-V6AD47SV-4832RSMX}|{X7Z9-K3VF80RY-5156SXBS},PC-6349,{A0R4-Z1ID73NZ-6387MGYU},{A5V1-V0PN18BU-4780PKMI},{S1V5-D2JB79JL-2225JUDK},{V1Q9-K4BF80IE-1436EOVL},usr_c6af2ab520ff
2011-03-31,7.0,4.0,2.0,3.0,138578.0,59537.0,5.0,5.0,0.0,0.0,7.0,2.0,2,3.0,5.396,2.698,4.047,5.5773531236947305,2.6072623480335664,6.745,6.745,0.0,0.0,9.443,1.349,0.0,-2.248333333333333,94.02944063818691,True,True,True,MODEL+S3_RULE,{U8O7-F9KM83GL-5679WUVL}|{S8A2-S8YH24JL-7867WKDU}|{Y7G2-V7HP83JR-4849IQLB}|{O7M1-H9HR43BK-7935BURF},PC-4905,{R5B4-W0MY47US-8033BAZL},{K6U3-H7VP89IH-4646SXMP},{N0C5-Q5RX57MV-2148ENCI},{V0S5-U2RW00SO-6669KNJC},usr_ac743ed266d7
2011-01-15,5.0,2.0,2.0,4.0,66101.0,40514.0,2.0,2.0,0.0,2.0,4.0,2.0,4,5.0,2.698,6.0,6.0,3.23593555001134,2.0522661209316295,2.698,2.698,0.0,6.0,5.396,1.349,6.0,0.4496666666666666,93.0617137353827,True,True,True,MODEL+S3_RULE,{I9R2-S8BL61UV-0977HZXV}|{D6A0-M0TJ92WM-6323YPIP},PC-4551,{F8M9-V9QD26EA-7549UXIJ},{U7Q0-K9EM89DV-9008LPIM},{N7S4-X0PM99HY-9193XGYQ},{R7S0-O3KC56CS-7757SVSN},usr_3baa56e22ece
2010-03-16,9.0,4.0,3.0,5.0,104094.0,41548.0,5.0,5.0,0.0,0.0,6.0,2.0,3,12.0,5.396,4.047,6.745,3.5355844096986178,1.7373646409696069,6.745,6.745,0.0,0.0,8.094,1.349,0.0,1.349,92.78912165357039,True,True,True,MODEL+S3_RULE,{S8T7-J2UY43AY-2546QBTI}|{O4R2-Q0KO28QJ-4690KLBZ}|{G5R3-E3TV30KM-7990JOQV}|{L4W2-M1SH27TU-6957ANME},PC-6713,{O6U9-W4TJ58FO-5500GYIR},{T8N3-O3UB40WG-0132QZJL},{G5U8-S5DN02SU-7346NULD},{R5W1-F0JH52PW-0734HBWO},usr_f6c2c2115a84
2011-01-16,2.0,1.0,1.0,1.0,39689.0,39689.0,1.0,1.0,0.0,1.0,3.0,4.0,2,0.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,6.0,6.0,2.698,0.0,-1.349,92.3240742146551,True,True,True,MODEL+S3_RULE,{A4Q4-H2PJ31FJ-5279VWYU},PC-8262,{W6S4-B4JQ69DU-0822AVGN},{O6Y1-W3NH75AI-5848PBOP},{E6K1-C7LE48QH-0307HURV},,usr_b882b191fe3f
2010-09-26,1.0,1.0,1.0,1.0,17418.0,17418.0,2.0,2.0,0.0,1.0,2.0,2.0,3,1.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,6.0,6.0,1.349,0.0,0.0,92.20695235722678,True,True,True,MODEL+S3_RULE,{O0M2-L3CJ00QH-4173FJGN},PC-6204,{Y6O1-P4AB60HT-7371FIFU},{I4F4-L6RI40YE-2547WLJA},{G4H1-D8QM66EJ-0592AMJZ},{G2Y4-S6WV63KL-9815GKPB},usr_135df7f0eb54
2010-02-24,8.0,3.0,2.0,2.0,83932.0,42186.0,4.0,4.0,0.0,0.0,3.0,2.0,4,3.0,4.047,6.0,6.0,4.027470138370149,2.1054176971670104,5.396,5.396,0.0,0.0,6.0,1.349,6.0,-0.8993333333333332,92.1002088316676,True,True,True,MODEL+S3_RULE,{K3H3-J2OH86JM-3168YISU}|{D9V1-Q8UB10RC-5636UUCK}|{V2B9-F2FR88FH-8815NMPG},PC-0351,{V5I7-C4AH29PV-6556XSMM},{S8B5-X4XI49XU-6566NUGX},{E5G2-A1TH59SA-7474OVOD},{N4V8-M4AI18FU-4082KCBM},usr_85b29ee882c7
