max_anomaly_score,anomalous_days,s3_rule_days,multisignal_days,first_day,last_day,priority_score,anon_user
98.69585735875287,27,14,36,2010-01-02,2011-05-16,138.69585735875287,usr_f1799c5feb88
94.02944063818691,16,14,19,2010-01-04,2011-05-16,134.0294406381869,usr_ac743ed266d7
97.49400596450917,13,13,15,2010-01-04,2011-05-16,137.49400596450917,usr_a0ae3aaaf22b
93.0617137353827,9,13,33,2010-01-04,2011-05-16,132.06171373538268,usr_3baa56e22ece
90.06385534142287,13,13,42,2010-01-02,2011-05-16,130.06385534142288,usr_4100af3d0319
87.76534009654618,8,13,11,2010-01-04,2011-05-16,125.76534009654618,usr_b219ae3133f5
91.24041007617082,14,11,54,2010-01-02,2011-05-16,131.2404100761708,usr_045f922787fa
78.4826243517442,5,11,34,2010-01-04,2011-05-16,113.4826243517442,usr_5beccff46fb6
78.60785912916005,3,11,22,2010-01-04,2011-05-16,111.60785912916005,usr_9281eca65083
99.14704718587723,15,10,57,2010-01-02,2011-05-16,139.14704718587723,usr_db1b1bdcfe26
96.82363628521554,13,10,22,2010-01-02,2011-05-16,136.82363628521554,usr_f6c2c2115a84
85.12035482531134,7,10,29,2010-01-04,2011-05-16,122.12035482531134,usr_1c9b5ddb20a3
94.97235328102201,11,9,16,2010-01-04,2011-05-16,134.972353281022,usr_c6af2ab520ff
90.2980382461005,13,9,41,2010-01-04,2011-05-16,130.2980382461005,usr_787c3e01f24a
89.31063441136865,14,9,12,2010-01-04,2011-05-16,129.31063441136865,usr_a1e1cfe12d5e
83.43608850618192,6,9,8,2010-01-04,2011-05-16,119.43608850618192,usr_e546ec0e4044
91.65182184703272,11,8,20,2010-01-04,2011-05-16,131.65182184703272,usr_1abcadd32bd3
92.1002088316676,3,8,21,2010-01-04,2011-05-16,125.1002088316676,usr_85b29ee882c7
84.96003820729145,7,8,19,2010-01-04,2011-05-16,121.96003820729145,usr_2e333e0bd6ec
84.9097966726193,2,8,21,2010-01-04,2011-05-16,116.9097966726193,usr_501d3e061e1f
93.16242746456103,7,7,24,2010-01-04,2011-05-16,130.16242746456103,usr_766cfffe514c
86.9041550163309,10,7,23,2010-01-04,2011-05-16,126.9041550163309,usr_f66943df912a
84.02572434050967,7,7,5,2010-01-04,2011-05-16,121.02572434050967,usr_7168a413a0e6
84.10760299536987,6,7,22,2010-01-04,2011-05-16,120.10760299536987,usr_9c4b98b83a74
86.93327966833438,14,6,47,2010-01-03,2011-05-16,126.93327966833438,usr_168865f08a83
87.45032401531414,2,6,17,2010-01-04,2011-03-04,119.45032401531414,usr_2a0422be68c6
84.78227078476,4,6,17,2010-01-04,2011-05-16,118.78227078476,usr_11d260370d58
92.83642154845396,10,5,2,2010-01-04,2011-05-16,132.83642154845396,usr_3559b7b38bf9
92.20695235722678,13,5,29,2010-01-02,2011-05-16,132.20695235722678,usr_135df7f0eb54
91.48920103170158,33,5,24,2010-01-03,2011-05-16,131.48920103170158,usr_55d5ae47cb9a
91.25222697875132,5,5,12,2010-01-04,2011-05-16,126.25222697875132,usr_37263405aefd
89.43991270204545,3,5,11,2010-01-04,2011-05-16,122.43991270204545,usr_460086ac3c41
85.56272512353277,4,5,13,2010-01-04,2011-05-16,119.56272512353277,usr_52a7e5237e52
81.51006854183663,4,5,37,2010-01-02,2011-05-16,115.51006854183663,usr_4f0ccdd4b553
84.58379016908435,5,4,17,2010-01-04,2011-05-16,119.58379016908435,usr_3b84736f3145
